Station,TM_X97,TM_Y97,Frequency,Amplitude,Classification
7050121,200458.331,2674159.127,1.9323046291687407,0.1414822136962278,Sea Tides
7050141,200458.331,2674159.127,1.9323046291687407,0.11817898859222198,Sea Tides
9130311,171102.202,2629196.258,1.9323046291687407,0.0441799706884797,Sea Tides
9130321,171102.202,2629196.258,1.9323046291687407,0.03602930822665527,Sea Tides
7230241,184111.144,2655941.161,1.9323046291687407,0.08005306212684751,Sea Tides
7230321,180817.848,2646747.575,1.9323046291687407,0.05161426778054208,Sea Tides
7050131,200458.331,2674159.127,1.9323046291687407,0.13173197509780446,Sea Tides
7230331,180817.848,2646747.575,1.9323046291687407,0.057002953934510346,Sea Tides
9180131,163427.238,2614692.311,1.9323046291687407,0.03377738706692265,Sea Tides
9130111,172024.615,2631889.287,1.9323046291687407,0.03883365523155297,Sea Tides
7230221,184111.144,2655941.161,1.9323046291687407,0.07589799396057248,Sea Tides
7230211,184111.144,2655941.161,1.9323046291687407,0.06356943439683983,Sea Tides
7230231,184111.144,2655941.161,1.9323046291687407,0.07860828152108447,Sea Tides
